발생월,시도,시군구,사망자수,중상자수,경상자수,부상신고자수,cnt_minor,cnt_serious,cnt_fatal,total_cnt,ratio_0,ratio_1,ratio_2
1.0,경기,의정부시,5,174,699,96,795,174,5,974,0.8162217659137577,0.17864476386036962,0.00513347022587269
1.0,경기,이천시,13,120,652,45,697,120,13,830,0.8397590361445784,0.14457831325301204,0.01566265060240964
1.0,경기,파주시,9,230,780,64,844,230,9,1083,0.7793167128347184,0.2123730378578024,0.008310249307479225
1.0,경기,평택시,22,375,1721,230,1951,375,22,2348,0.8309199318568995,0.15971039182282795,0.009369676320272573
1.0,경기,포천시,12,110,502,33,535,110,12,657,0.8143074581430746,0.167427701674277,0.0182648401826484
1.0,경기,하남시,2,126,551,57,608,126,2,736,0.8260869565217391,0.17119565217391305,0.002717391304347826
1.0,경기,화성시,30,391,1707,136,1843,391,30,2264,0.8140459363957597,0.17270318021201414,0.013250883392226149
1.0,경남,거제시,7,146,340,17,357,146,7,510,0.7,0.28627450980392155,0.013725490196078431
1.0,경남,거창군,8,42,75,0,75,42,8,125,0.6,0.336,0.064
1.0,경남,고성군,6,45,70,3,73,45,6,124,0.5887096774193549,0.3629032258064516,0.04838709677419355
1.0,경남,김해시,17,435,819,62,881,435,17,1333,0.6609152288072018,0.32633158289572395,0.012753188297074268
1.0,경남,남해군,4,46,56,18,74,46,4,124,0.5967741935483871,0.3709677419354839,0.03225806451612903
1.0,경남,밀양시,7,117,172,30,202,117,7,326,0.6196319018404908,0.3588957055214724,0.02147239263803681
1.0,경남,사천시,6,100,273,18,291,100,6,397,0.7329974811083123,0.2518891687657431,0.015113350125944584
1.0,경남,산청군,3,30,50,9,59,30,3,92,0.6413043478260869,0.32608695652173914,0.03260869565217391
1.0,경남,양산시,11,218,477,105,582,218,11,811,0.717632552404439,0.2688039457459926,0.013563501849568433
1.0,경남,의령군,1,25,39,4,43,25,1,69,0.6231884057971014,0.36231884057971014,0.014492753623188406
1.0,경남,진주시,10,187,184,13,197,187,10,394,0.5,0.4746192893401015,0.025380710659898477
1.0,경남,창녕군,8,78,97,12,109,78,8,195,0.558974358974359,0.4,0.041025641025641026
1.0,경남,창원시(통합),32,530,1304,78,1382,530,32,1944,0.7109053497942387,0.2726337448559671,0.01646090534979424
1.0,경남,통영시,6,111,363,40,403,111,6,520,0.775,0.21346153846153845,0.011538461538461539
1.0,경남,하동군,4,27,39,5,44,27,4,75,0.5866666666666667,0.36,0.05333333333333334
1.0,경남,함안군,4,86,128,9,137,86,4,227,0.6035242290748899,0.3788546255506608,0.01762114537444934
1.0,경남,함양군,5,41,44,13,57,41,5,103,0.5533980582524272,0.39805825242718446,0.04854368932038835
1.0,경남,합천군,2,68,45,12,57,68,2,127,0.44881889763779526,0.5354330708661418,0.015748031496062992
1.0,경북,경산시,8,144,447,17,464,144,8,616,0.7532467532467533,0.23376623376623376,0.012987012987012988
1.0,경북,경주시,11,299,582,47,629,299,11,939,0.6698615548455804,0.3184238551650692,0.011714589989350373
1.0,경북,고령군,3,29,57,4,61,29,3,93,0.6559139784946236,0.3118279569892473,0.03225806451612903
1.0,경북,구미시,15,313,789,81,870,313,15,1198,0.7262103505843072,0.2612687813021703,0.012520868113522538
1.0,경북,군위군,1,11,28,0,28,11,1,40,0.7,0.275,0.025
1.0,경북,김천시,10,79,169,6,175,79,10,264,0.6628787878787878,0.29924242424242425,0.03787878787878788
1.0,경북,문경시,8,64,175,9,184,64,8,256,0.71875,0.25,0.03125
1.0,경북,봉화군,3,30,45,5,50,30,3,83,0.6024096385542169,0.3614457831325301,0.03614457831325301
1.0,경북,상주시,11,90,162,8,170,90,11,271,0.6273062730627307,0.33210332103321033,0.04059040590405904
1.0,경북,성주군,6,42,124,7,131,42,6,179,0.7318435754189944,0.2346368715083799,0.0335195530726257
1.0,경북,안동시,7,167,396,44,440,167,7,614,0.7166123778501629,0.2719869706840391,0.011400651465798045
1.0,경북,영덕군,3,58,140,12,152,58,3,213,0.7136150234741784,0.27230046948356806,0.014084507042253521
1.0,경북,영양군,1,13,20,0,20,13,1,34,0.5882352941176471,0.38235294117647056,0.029411764705882353
1.0,경북,영주시,5,94,170,8,178,94,5,277,0.6425992779783394,0.33935018050541516,0.018050541516245487
